 time            v(A0)           v(A1)           v(A2)           v(A3)           v(B0)           v(B1)           v(B2)           v(B3)           v(Cin)          v(S0)           v(S1)           v(S2)           v(S3)           v(C4)          
 1.01300000e-08  1.26000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79998381e+00  1.79998866e+00  1.79992344e+00  1.79999880e+00  1.79998600e+00 
 1.01700000e-08  5.40000000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80001270e+00  1.79999408e+00  1.80000910e+00  1.79999440e+00  1.80001122e+00 
 1.02000000e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999309e+00  1.79999615e+00  1.79995567e+00  1.80000174e+00  1.79999169e+00 
 1.02062950e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999502e+00  1.79996934e+00  1.79997251e+00  1.79999980e+00  1.79999136e+00 
 1.02188851e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79996330e+00  1.79993227e+00  1.79996785e+00  1.79999709e+00  1.79999277e+00 
 1.02440652e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79971623e+00  1.80000746e+00  1.79998448e+00  1.80000153e+00  1.80001298e+00 
 1.02789023e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79983771e+00  1.80010586e+00  1.80000098e+00  1.80000206e+00  1.80000203e+00 
 1.03120849e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80235205e+00  1.80034542e+00  1.79997749e+00  1.79999857e+00  1.79999061e+00 
 1.03472909e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80249801e+00  1.79932642e+00  1.79997866e+00  1.79999953e+00  1.80000367e+00 
 1.03893040e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79377687e+00  1.79305014e+00  1.79997620e+00  1.79999960e+00  1.79999697e+00 
 1.04341814e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.76767593e+00  1.84398865e+00  1.79998536e+00  1.80000001e+00  1.80000191e+00 
 1.04789019e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.75213479e+00  1.57931248e+00  1.79998111e+00  1.80000008e+00  1.79999885e+00 
 1.05295057e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.82888503e+00  4.93357859e-01  1.79998139e+00  1.79999987e+00  1.80000056e+00 
 1.05655195e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.94285419e+00  3.04204106e-02  1.79998279e+00  1.80000023e+00  1.79999978e+00 
 1.06001898e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.50020775e+00  1.68430183e-02  1.79998509e+00  1.80000007e+00  1.80000075e+00 
 1.06338048e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  5.59485575e-01 -3.29954618e-03  1.79997900e+00  1.79999964e+00  1.79999748e+00 
 1.06575586e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.60374806e-01 -4.88161248e-02  1.79998416e+00  1.80000034e+00  1.80000307e+00 
 1.06854698e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.77095139e-02 -6.02778230e-02  1.79998071e+00  1.79999970e+00  1.79999698e+00 
 1.07145633e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  6.54506416e-03  3.45140577e-01  1.79998522e+00  1.80000026e+00  1.80000244e+00 
 1.07469342e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.13810424e-03  1.06341580e+00  1.79998172e+00  1.79999971e+00  1.79999748e+00 
 1.07832902e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.38057850e-04  1.59570658e+00  1.79998303e+00  1.80000016e+00  1.80000194e+00 
 1.08217271e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.30454968e-04  1.76962153e+00  1.79998234e+00  1.79999984e+00  1.79999815e+00 
 1.08763969e-08  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -5.62679719e-05  1.80134640e+00  1.79998357e+00  1.80000007e+00  1.80000133e+00 
