 time            v(CLK)          v(A0i)          v(A1i)          v(A2i)          v(A3i)          v(A4i)          v(B0i)          v(B1i)          v(B2i)          v(B3i)          v(B4i)          v(Cini)         v(S0o)          v(S1o)          v(S2o)          v(S3o)          v(S4o)          v(Couto)       
 1.64833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.54335534e-04 -1.58375864e-04 -5.16953970e-06 -1.61173446e-04 -1.58004752e-04 -5.82062890e-05 
 1.74833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.01515622e-04  2.05760789e-04  5.96053343e-06  2.08183719e-04  2.05610898e-04  5.51972153e-05 
 1.84833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.37868691e-04 -1.41790893e-04 -5.56197993e-06 -1.43918296e-04 -1.41676577e-04 -5.16357220e-05 
 1.94833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79540292e-04  1.83711855e-04  6.00165337e-06  1.85586561e-04  1.83708217e-04  4.92218291e-05 
 2.04833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.24142970e-04 -1.28121146e-04 -5.49157313e-06 -1.29784438e-04 -1.28054034e-04 -4.63178105e-05 
 2.14833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.61535183e-04  1.65788754e-04  5.69979193e-06  1.67272645e-04  1.65759673e-04  4.43303284e-05 
 2.24833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.12404817e-04 -1.16552835e-04 -5.12516486e-06 -1.17876176e-04 -1.16396098e-04 -4.18973234e-05 
 2.34833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.46356545e-04  1.50792462e-04  5.18359988e-06  1.51980799e-04  1.50626827e-04  4.02214041e-05 
 2.44833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.02140943e-04 -1.06530747e-04 -4.57887025e-06 -1.07589687e-04 -1.06197011e-04 -3.81351277e-05 
 2.54833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.33261812e-04  1.37942504e-04  4.54285335e-06  1.38893701e-04  1.37570509e-04  3.66924184e-05 
 2.64833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -9.30055395e-05 -9.76799670e-05 -3.93166609e-06 -9.85213487e-05 -9.71157090e-05 -3.48685793e-05 
 2.74833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.21757993e-04  1.26719816e-04  3.83842224e-06  1.27470624e-04  1.26099973e-04  3.36052394e-05 
 2.84833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -8.47648174e-05 -8.97465797e-05 -3.23618325e-06 -9.04004641e-05 -8.89215132e-05 -3.19856844e-05 
 2.94833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.11510111e-04  1.16771513e-04  3.11056489e-06  1.17346113e-04  1.15881773e-04  3.08643078e-05 
 3.04833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -7.72585380e-05 -8.25565238e-05 -2.52677678e-06 -8.30432948e-05 -8.14562946e-05 -2.94081853e-05 
 3.14833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.02284765e-04  1.07851945e-04  2.38523151e-06  1.08267348e-04  1.06683566e-04  2.84024002e-05 
 3.24833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -7.03743959e-05 -7.59880823e-05 -1.82566736e-06 -7.63226471e-05 -7.46092002e-05 -2.70804432e-05 
 3.34833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  9.39148006e-05  9.97856504e-05  1.67881225e-06  1.00054861e-04  9.83389246e-05  2.61713108e-05 
 3.44833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -6.40312935e-05 -6.99538422e-05 -1.14433467e-06 -7.01480691e-05 -6.83001312e-05 -2.49620937e-05 
 3.54833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  8.62769303e-05  9.24437898e-05  1.00031967e-06  9.25776219e-05  9.07250411e-05  2.41357076e-05 
 3.64833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -5.81685223e-05 -6.43889633e-05 -4.93847323e-07 -6.44530624e-05 -6.24690673e-05 -2.30231715e-05 
 3.74833456e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  7.92773722e-05  8.57289823e-05  3.56032029e-07  8.57370668e-05  8.37484601e-05  2.22690523e-05 
